content,hate,gender_hate
걍 이 병신나라 민도가 좆박은건데 어쩔수가 잇나 걍 망해야지,1,0
그 앰생 쓰레기 병신들은 짐승이고. 니는 짐승을 사람 취급해주냐.,1,0
제발 너그집으로 꺼져 애미뒤진새끼야,1,0
몸만지면 대주는 걸레년임,1,1
환경오염도 이쯤되면 심각하고 자식 낳아봐야 지들 애미애비(그러므로 너 나 우리)가 똥 싸지른 꼴 구경시켜주는 것밖에 더 되겠냐 재앙아 출산율 더 낮춰봐라,1,0
씨발 좆같은 새끼가 먼저 시비투로 글 싸재껴놓고 이제와서 그런 뜻 아니었다 뭔 개 좆빠는 소리를 쳐하노,1,0
말투 진짜 개좆같다 대가리 깨서 마라국물 마시고 싶네,1,0
씨발년이 애새끼 처먹이는데 마라탕을 왜 먹여 1점 주려고 별 지랄을 다하네 미친년이,1,1
저런 년들도 결혼하고 애낳고 산다는게 보지년들이 인생 허들이 낮다는 증거 아니겠노,1,1
애기한태 마라탕을 처 맥이려는 미친년이 애미실격아니냐,1,0
한남고추작다고한거사과해줘,1,1
딱봐도 여자 만만하게보고 지랄하다 좇될것 같으니까 정신병있는 여성인척 약자의 요소들로 빠져나가려고 하는게 존나 재수없는 한남새끼임,1,1
느그애비 한남,1,1
목 잘라서 염산에 담궈버리고 싶다,1,0
저글쓴 국뽕새끼 진짜 애미뒤진 저능아새끼네 ㅋㅋ,1,0
자지들이 여자어 따라한다고 이지랄하는거보면 아가리뜯어버리고싳긔 ㅇㅅㅇ 텍스트에서 갤창냄새가 코찌리게 나누 ㄷㄷ,1,1
여가부 폐지에 부랄쉰내 풍기며 허버허버 몰려오는 국산남들,1,1
보지들이 짝찟기를 했더니 가짜뉴스라는 참 좇 같은 자손이 나왔네요,1,1
쿠테타 한번 일어나서 개패미 좌빨들 모조리 청소혀야제,1,0
피싸개들은 기자 못하게 법으로 막던가 해야지 무슨 이년들은 씨발 기사를 쓰는게 아니라 일기를 씀,1,1
축리웹병신새끼 니애미 보짓속으로 기어들어가라 ㅋㅋ,1,1
조센징들 또 좆 같은 거짓 반일 선동이나 하다가 일본인들한테 다 털려서 개 쪽 쳐맞고 있노 사스가 반일 정신병 미개 조센징 수준 ww,1,0
한녀들이나 이딴 주작예능 보지 지능 문제다 씨발,1,1
안산은 20살에 금메달 세 개 따는데 디시 한남들은 인생에서 뭐 이뤄놓은 것도 없느면서 페미페미 이지랄 하고 있노 ㅋㅋㅋㅋㅋ 남성이 유전적으로 월등하다는 건 팩트 아닌가요??? 남성이 예로부터 사냥활동을 해서 운동신경이 어쩌고 저쩌고~ 팩트는 안산보다 운동신경 훨씬 떨어지는 배나온 한남임 ㅋㅋㅋ,1,1
느그애미도 너 태어났을 때 배까고 싶었을 듯,1,0
뭔 개소리야 병신 정신병자 조현병 새끼가,1,0
좆돼지년들 화형시키면 지방때문에 일주일은 활활탈듯,1,1
그래서 숏컷만해서 욕처먹는거냐고 애미뒤진년아 왜 자꾸 본질을 호도해 좆같은 김치피싸개 창년아,1,1
이런 페미 꼴통년들이 존나 웃기는게 지들이 시나리오를 쓰고 지들이 정신승리를 한다는점이라는거지 야이 미친 피싸개 개년아 페미가 언플하고 문재앙이 페미질하는거 모르는 좆병신이 어디있냐 빡통가리년아,1,1
한남충들 다 죽여버려야한다,1,1
골빈년들 단순노무 걸레로 살다 뒤져라,1,1
자지의 유무와 지능의 상관관계는 분명한듯,1,1
피싸면서 뇌수도 같이 질질 흘려버림,1,1
한녀 보지 반으로 찢어서 생리혈 질질 싸게 만들어주겠다,1,1
좆팔 냄져들 부랄긁으면서 여남차별 웅앵웅거리는거 ㄹㅇ 창남마인드노ㅋㅋ 한남소추게이들 본인집에서 셀프재기해라 이기야,1,1
니미 개 좆같은 새끼. 저런 게 국회의원이라고 있으니 나라가 이 모냥이지. 좆같은 새끼,1,0
스시녀들 대부분 걸레들임 애비에게 처녀 따이는 것도 흔하고,1,1
틀니딱딱충들 머가리를 반으로 쪼개야 됨,1,0
보이루때는 아가리 처 닥치고있던 알페스 걸레 민주당 한녀들 이제와서 웅앵웅 ㅉㅉ,1,1
몸갤 개씨발년들 쳐죽었으면 좋겠다 아님 몸갤 그자체를 폐쇄시키던지 나만 알고싶었던 년이었는데 이거 신고함 미친년들아,1,0
한남들 개역겹노 씨발...,1,1
다같이 한녀들 강간하고 죽이면 됨 굿굿,1,1
"전쟁나도 캠프하는거라 노상관ㅋㅋ 한남들 다 재기하고 갓양남, 스윗중남이 반도점령해라~~~~~~~~~~ 그럼 페미니스트가 활동하기 더 좋아지는 세상온다~~~~~~~~~~",1,1
한녀 피싸개는 진짜 가스실로 다 보내야한다 ㅋㅋ,1,1
한남새끼들은 답이 없다 ㅋㅋ 시발 한남들 끼리 서로 물고 뜯고 ㅋㅋ 그냥 한남은 가스실이 답인듯,1,1
한남새끼들 넷상에서 좀만 웅앵대다가 롤하러 가죠?ㅋㅋㅋㅋㅋㅋㅋㅋ 현실은 페미가 언론장악하고 지들 인권 씹창났죠?ㅋㅋㅋㅋㅋㅋㅋ,1,1
전라도 새끼들은 지 딸년이 애비충 한남유충 이래도 좋아하는데? 전라도 새끼들은 원한게 그거니까 승리한거,1,1
뭔 개소리야 정액씹좆대가리 새끼가 ㅋㅋ,1,0
좆된거는 느그 냄져 미래고요 ㅋㅋㅋㅋㅋㅋ 길거리에서 쳐다보기만 해봐? 확 치한으로 신고해서 인생 종치게 만들어줄테니깐,1,1
여자는 안산~ 한남은 논산~^^ 웅앵웅 숏좆실좆한냄충 ㅂㄷㅂㄷ잼^^,1,1
한녀 피싸개년들 생리혈 부륵부륵ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1,1
진짜 누가 보지를 존나 빨아재껴서 부들뷰들 경련 일으키게 만들면서 똥오쥼 지리머 개거품물 때까지 사랑스럽게 느끼게 애무해주길 바라는 건가? 애정결핍인가 ㅋㅋㅋ,1,1
ㄹㅇ 홍어랑 통구이란 단어가 같은 선상에서 놓이는거 부터가 문제인데 홍어 새끼들은 문제가 뭔질 모름 ㅋㅋㅋㅋ,1,0
통구이 새끼 헐레벌떡 달려와서 발작하노 ㅋㅋ 그래봤자 대한민국에서 제일 미개한게 개쌍도인건 변하지 않아~,1,0
홍어새끼 발정났노~~우흥 우리 전땅크 선생님 거근 땅크맛을 다시봐야 누가 주인인지 깨닫지,1,0
히틀러가살아있다면 유대인대신 한남부터비누로만들었다.,1,1
한남은 코로나보다못한 기생충,1,1
저딴 거짓말을 무지성으로 믿어주면서 애꿎은 젊은한남 때리는 좆팔육 새끼들을 고려장해야 한다,1,0
좆같으면 씨발 나가서 독립 하라고 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 페미새끼들마냥 시발 월세도 안내고 집에 처박혀서 무료숙박하는 주제에 집주인 말을 안듣노 씨발 홍어빨갱이새끼들인가 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1,0
조센징 씹센징들도 좀 멸센좀 시켜주지 ㅠㅠㅠㅠ 아깝다 인류의 해악 바퀴벌레 씹센징들은 박멸이 답 ㄹㅇ,1,0
딸배 새끼들은 하나같이 저러냐ㅋㅋ 대가리에 가오만 가득 차서 피해의식 좆되는 버러지 ㅎㅌㅊ 인생들ㅋㅋ,1,0
애미뒤진새끼가 지 애미 무덤관리나 잘하지 남한테 효도 이지랄 ㅋㅋㅋ,1,0
피해망상으로 1~6세 아이 죽이고 지 아버지사진 불태워가면서 페미하는 한녀 정신병 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1,1
한남새끼들 자 드가자 이러더니 화력 지네들 소추마냥 6.9도 안되노 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1,1
팩트)피싸개가 오래전부터 해오던 짓을 한남도 똑같이 해준것 뿐ㅋ,1,1
"한국인의 유전자가 여자로 나타나는 결과물인 한녀 피싸개들은 한국인이라는 민족의 유전자 속에 잠복해있는 얼굴,신체,두뇌,인성,지능,성격,기타등등 모든 유전자 특징들이 전부 다 여자로 나타나는걸 보여주는 결과물 답게 처참하게 낮은 수준의 얼굴, 두뇌, 지능, 신체, 성격, 인성이다",1,1
피싸개 불고기보지 한녀는 걸러라 인생 망한다,1,1
한녀 손도 못잡아봤을 새끼가 이러는게 피싸개들보다 병신같노 ㅋㅋ,1,1
일베가 옳았따. 한녀는 삼일한이 정답이지,1,1
성괴수술젖밥그릇년을 빨고있네 개병신호구새끼 이런새끼들은 좀 안뒤지나,1,1
조센징 피싸게들 눈깔에 흑채뿌려놓은거마냥 거멓게 붙이고 칠한거 보다가 이거보니 정화되네,1,1
근데 솔직히 처녀도 아닌 피싸개들이랑 결혼 할 필요가 있을까?? 혼전섹스 걸레 비처녀 다 죽어,1,1
보지에 나사 박아버려야 함,1,1
공부도 필요 없고 걍 언어학 유튜브 찍먹만 해봐도 단어 하나 하나가 역사를 담고 있는걸 알텐데 병신같은 조센징들은 배운 새끼들이 이 모양이니 한심 ㅉㅉ,1,0
존나 개빡치네 씨발 면상도 빠은 돼지같은년 어디가 ㅇㅎ? 눈갱도 정도것해야지 개같은년아 아 아침부터 기분 존나 더럽네,1,0
병신새끼 지잡대 갓나보네 글쓰는 꼬라지 봐라,1,0
한남들 맨날 피싸개 라구 욕하면서 한녀없으면 못사는 족속,1,1
좆의숙주 한남유충들은 이런거 좋아함? ,1,1
쟤넨 머리에 총부리 들이밀고 북한한남에 강간당해봐야함,1,1
한남충들 불리하니까 도배질봐 금메달리스트도 페미한다고 까는 느그 한남수준이 그래,1,1
한남과의 결혼은 부패한 음쓰를 집어먹는 것이다,1,1
아동센터 가는 애들 걍 ㅈ그지 빡대가리 부모밑에서 태어난애들임 ㅋ 애미애비 둘중하나없거나 둘다없는애들가는곳,1,0
남페미 = 여자따먹을려고 보지에 환장한 기성세대 + 젊은 물소보빨러,1,1
한남중 최고?젠더감수성 가진 사람도 성추행 저지를 정도면 일반 냄져들은 얼마나 썩었다는거임ㅠ 환멸나 그남들 빨리 죽어,1,1
차별받은 사람이 차별이라고 말하면 이해라도 가는데 2030피싸개 창년들이 유난떨잖아 ㅋㅋ,1,1
피싸개는 피좀 그만 싸면 안됨?,1,1
와 진짜 애미가 강간당해서 나온 페미새끼들은 마인드부터 다르구나 ㅋㅋ,1,1
좆까 보댕이들은 정액싸면 받아서 수정이나시켜라,1,1
고생은 애미세대가 했는데 왜 지들이 피해입은거마냥 피분수 싸면서 보랄발광하는지 모르겟는 부분,1,1
요즘 씹창년들은 그냥 최대한 편하게 살려고 페미 한답시고 지랄옘병옆차기하다 피질질흘리면서 다니는거고,1,1
니네 애미애비나 밀어 개병신좆짱깨같은 걸레년들이,1,1
헬조선 피싸개는 거르는게 답,1,1
진짜 디시 앰생 방구석사령부 새끼들 무슨 직업 이야기만 나오면 열등감 다 폭발해서 댓글에 꿀빤다고 지랄지랄 ㅋㅋㅋㅋ,1,0
좆병신같은걸 방역수칙이라고 수장이 말하니깐 조센징은 여기에 허영심이있는지 안지키면 뒤지는줄암 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1,0
일뽕은 애미애비 횟칼로 모가지쑤셔 죽여야함... 일뽕이 착해지는건 뒤지는것뿐,1,0
지애미 생일도 모를거같은놈이 죶잡고 발작이노ㅋㅋ,1,0
애미터진 맘충년들 때문에 자영업자들은 두배로 힘드노,1,1
보지에 오만원짜리 살짝 꼽아주고 싶네,1,1
니애미 발정낫길래 내가 풀어주긴했음 ㅇㅇ,1,0
진짜 못배워처먹은 새끼라 그런가 변명하는 글도 개좃병신같이쓰네 씨발 ㅋㅋ,1,0
트위터보면 좆돼지년들이 알몸으로 저춤추던데 개좆같음,1,1
늙은 뚱땡이년들 악에받힌 댓글들 좀 봐,1,1
딱봐도 맘마통 흔들고 교태부리면서 살거같은 암컷들이 공부한답시고 책 잡고있는거 보면 기특하네 ㅋㅋ,1,1
지랄을하노 창녀가 ㅋㅋㅋㅋㅋㅋ,1,1
한녀가슴에 비율 병신에 흑겨드랑이 앰창 씨발련,1,1
그냥 한녀잖아 이건,1,1
보지들은 왜 보지들 욕을 못하는걸까?,1,1
에라이 씨발 피싸개 씨발년들아 니들끼리 동일업무 동일임금 받으면서 행복하게 살라고 ㅋㅋㅋ,1,1
피싸개들 누가누가 피 더 잘싸나 기싸움 펼치는데 누가가고싶겠노ㅋㅋㅋ,1,1
한녀평균 지능 = ㅈ소 꼴통 지능,1,1
한남충들 지들끼리 군캉스 휴가 즐기고 오지만 여자는 그런 게 없으니까 그런 거긔,1,1
회사에 보지년 하나있는데 ㄹㅇ 종특인지 폐급이더라,1,1
아직도 관상 안믿는 저능아 돌대가리 씹병신 과학이슬람 새끼 없지?,1,0
아깝게 서울땅 차지해서 숨쉬지 말고 마라도 같은데로 몰아거 거기서 즈그들끼리 쥬지 봊지 빨면서 좆몾질하믄서 살다가 디지믄 되겄네 ㅋㅋㅋ 말세다 씨발,1,0
한남들 찌질해,1,1
한남들 숏추 땅콩 쭈물떡거리면서 시작화면이 FBI 경고 나오는 영상 봐야해~~~,1,1
한녀 보지에 싸면 저런 동물이 나온다,1,1
씹조선은 치이던가 치던가 둘 중 하나임 강남인데 조센징 애미 뒤진새끼들 짱꼴라 욕 할 게 못 된다니까 횡단보도 밀고 들어오는 애미 뒤진 씨발새끼들 진짜,1,0
한국여자들의 모든 보지를 확 찢어버려 죽여야한다,1,1
팩트) 피싸개들은 피를 쌀때 뇌세포도 같이 싼다,1,1
터키는 6.25 참전국인 건 알겠는데 6.25 상태까지 호흡기 붙여준 미국한테는 왜 지랄하냐고 시발련들아 ㅋㅋㅋㅋㅋ,1,0
아는 병신과 뭣도 모르는 병신은 급이 다름 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0,0
서울대 재학시절에 민간인3명을 프락치로 몰아서 납치하고 고문한 싸이코페스,0,0
아 페미년 임명해도 아가리 반페미질만 하면 페미랑께 ㅋㅋ,1,1
억까 병신 ㅋㅋ,0,0
지랄났다 간첩년들!,1,1
진짜 빨갱이년이냐?,1,0
예나지금이나 싸튀충 한남은 여전하네ㅉㅉ,1,1
남장시키면 남자랑 구분도 못할거같이 생긴게 최고의 미녀ㅋㅋ,1,1
삼일한이 좆으로 보이냐?,1,0
한녀가 한녀했노 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1,1
조센징 김치보지년들 기생충성향은 진짜 DNA 였노ㅋㅋㅋ,1,1
더치페이 안해서 욕먹는거냐..? 한남은 진짜 어마어마하다 ㅅ발,1,1
조센징들 지들이 원한 결과인 걸 지들만 모름ㅋㅋ,1,0
진짜 이해가 안가네.. 계곡도 그렇고 해수욕장도 그렇고 그냥 저 지랄 단속 좀 지랄 안해도 좀 해라 씨발련들아,1,0
김치년들 꼴 좋노 ㅋ,1,1
한남충 특 ㅡ 지 애새끼 깠으면서 책임도 안 짐,1,1
한남충 특 ㅡ 부성애란 게 없음,1,1
ㄴ어저미새끼 하여튼 반박논리수준ㅋㅋㅋㅋㅋ그러니까 꼴통미개촌놈이지,1,0
이런 개병신같은것도 못잡으니까 이재명 뽑는다고 발광하잖아,1,0
경상도인은 중국인과 수준이 같다 행동을 보면 누가 경상도인이고 누가 중국인인지 구별할수없기 때문이다,1,0
저거 해결 안하는 박형준도 병신 같고 저 지랄로 수십년 째 살아오는 개쌍도 병신새끼들도 수준 알만하다 진짜로 ㅋㅋ,1,0
저딴걸 쉴드 치는 개쌍도 마인드 수준 ㅋㅋ,1,0
걸어다니는 섹스네 창녀같은 년 하 씨발,1,1
깡시골새끼들이 다 그렇지 뭐 ㅋㅋㅋㅋ 지들끼리만 뭐 홍어네 과메기네 갈라치지 그냥 미개한 좆병신지방새끼들임,1,0
울산 전라도 홍어 많음,1,0
"이게진짜 미모지. 뽀샵,보정하는 한녀랑 차원이다르노",1,1
저새끼 쉴드치면서 오재일 가져오는건 씨발 진짜 좀 쳐맞아야지 저 병신이 1루수비조차 제대로 못하니까 지타 세우고 1루수 뽑아온건데,1,0
강백호가 잘못없데 시발 미친년들 내가 전경기 다 챙겨봤을때 중요한 타이밍때 날려먹은 찬스 ㅈ.ㄴ많았다 - ㅋㅡㅋ,1,0
그것이 개조센이니까...,1,0
애미애비가 586인 2030 ㄹㅇ 답없다 ㅋㅋㅋㅋㅋㅋㅋ,1,0
전형적인 경상도네 지들 까이면 홍어찾고 딴말하고 불타기하고 ㅋㅋ,1,0
여성 호르몬이 많이 나오는 넘 같다. 보통 여자들이 책임회피 할려고 저런 식으로 말을 계속 바꾸는 경우가 많거든.,0,0
팩트)한녀작가가 써준 대본이다,1,1
페미 반일 빨갱이 공통점이 맨날 지낸 약자고 피해자 코스프레함,1,1
딱 하나 맞는건 어지간한 병신들 아니고서야 저지랄하면서 간첩질하겠냐ㅋㅋㅋㅋ 개병신들,1,0
"요즘 애새끼들 안처맞고자라니 개념이 좆도없어,.",1,0
와 진짜 개 좆패버리고 싶게 생겻네 ㅋㅋㅋㅋㅋㅋㅋㅋ 진짜 개좆같다 씨발 ㅋㅋㅋㅋㅋ,1,0
요즘 젋은 남자들은 남성성이 거세되서 보지랑 생각하는게 똑같음,1,1
컨셉이어도 좆같네 저건,1,0
이상 애미터진 스윗한남의 개억지였습니다,1,1
선동되는 여초년들이나 윗댓들마냥 눈귀막고 아! 그냥 한녀들이라고! 이ㅈㄹ하는놈들이 진짜 문제임,1,1
정보) 보지는 정신병이다.,1,1
한녀 거르고 양세형 병신같은건 맞지 ㅋㅋ,1,1
양세형은 원래 병신같은 이미지라 뒤져도쌈 ㅋㅋ,1,0
진심으로 재네는 그냥 생각이란걸 안하고 감정적으로만 행동하는듯 개병신무쓸모 좆돼지년들 에휴 사회에서 이룬거라곤 배민vip밖에없는 식충이년들,1,0
열등감에 미친년들은 한녀 페미들이지 남자들이 자신보다 우월하니깐 어떻게던 위에 서볼려고 ㅋㅋ,1,1
진짜 존나더럽고 천박해보인다 병신지방충새끼들 몸이나좋으면몰라,1,0
인생 패배자 한남들은 위대한 연경킴이나 빨아야지 ㅋㅋㅋㅋ,1,1
애미애비가 돈 축내는 체육협회 관계자들인가 부럽다,1,0
문재앙 씹새끼 대통령되니까 올림픽 성적도 나라꼬라지 마냥 운지하노...,1,0
진짜 저년들은 피쌀때마다 뇌도 같이 싸나보다,1,1
응 2030 개돼지들아 니들이 민좆당 180석 문재앙 뽑았어 ㅋㅋㅋ,1,0
저 씨발련들 때문에 요즘 예능들 다 좆노잼 됨,1,0
틀딱이랑 조선족은 배달 못하게 좀 하자 ㅅㅂ 20분거리에서 커피시켰는데 픽업하고 40분이 넘게걸려 ㅅㅂ,1,0
파판은 페미년들하고 운영때문에 망했지 ㅋ,1,1
겜은 시발 대체제가 없을만큼 명작인데 씹트짹년들 ㄹㅇ,1,1
개씹병신년들,1,0
