content,hate,gender_hate
해외에서 존나 잘나가는 게임 들고와서 그대로 씹창내버리는 운영진도 대단하다 진짜 ㅋㅋ,1,0
의사면 전문의 따는순간 페닥으로만 1억 그냥 념기는데 저딴 병신같은 글을 쓴다고??? 개구라치는 허언증새끼지 뭔 ㅋㅋ,1,0
노가다하는 앰생새끼들 존나많노 ㅋ,1,0
뭔 시발 ㅋㅋㅋㅋㅋㅋ 평소 시즌 때 관중 응원하는 소리 거슬려서 어떻게 경기 했냐 그럼,1,0
애미창년 좆선족 바퀴벌레,1,0
씹선족 혐오는 뭐 처음부터 있었는줄 아나 ㅋㅋㅋㅋㅋㅋ 하는 꼬라지를 보다보니 좆같은 새끼들이라는걸 깨닫게 됐으니까 역겨워하게 된 거지,1,0
씨발 대충 이정도만 해도 중간은 갈텐데 저새끼들은 뭐가 문제길래 일을 저따구로 하냐ㅋㅋㅋㅋ,1,0
ㅈ같네 진짜 꼰대 회사 씨발꺼 생활비 계좌 농협꺼 쓰고 있었는데 바꿔야겠다 캬아아악퉷,1,0
"애미 시발 일본, 미국전에서 좆말아먹고 느같은 홍어새끼 제외하고 다 지길 기원하는 도미니카랑 할 때 치면 뭐함 좆병신새끼야 ㅋㅋ",1,0
한남=여성호르몬 뿜뿜 게이,1,1
한녀 피싸개 = 성공한 남자 잡아서 평생 집구석에서 놀고먹을 생각만 하는 기생충,1,1
야갤새끼들 너덜너덜 ㅂㅈ와 사귀는게 꿈이구나 ㅋㅋㅋㅋ불쌍한 새끼들 ㅋㅋㅋ하다하다 북녀를 빠네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1,1
저게 맞지 남한김치년들은 배가불렀어,1,1
스시녀들도 한국오면 보빨러들 때문에 어느정도 김치년화됨 ㅋㅋㅋ 그냥 한남 병신 흑우 새끼들이 제일 문제인거임 ㅋㅋㅋㅋ,1,1
페미로 공산주의가 노린게 바로 저건데ㅋ 현실은 부칸에서 여성은 가축이하임ㅇㅇㅋ,1,1
남탓좀그만해라 ㅂㅅ들아,1,0
니미씨발 이래서 호신용칼 들고 다녀야겠노 ㅡㅡ 개죽음 당하면 안돼니까 ㅡㅡ,1,0
초봉 4500이 좆으로 보이냐 애미창년인,1,1
창녀가 자랑이노 시발ㅋㅋㅋㅋㅋㅋㅋ,1,1
토토충 아재나 보는 보지배구 ㅋㅋ,1,1
창녀라고 대놓고 말하네 병신년 ㅋㅋㅋㅋ,1,1
지잡한남들 그렇게 야구야구 거리더니 ㅇㅇ,1,1
김연경 질질짜는거보니까 속이 다 후련하네 ㅋㅋㅋ 한녀는 풀어주면안됨 주제모르고 날뛰게되서,1,1
저래도 밸런스좆병신똥겜 현질없이는못하느ㄴ겜만듬 이러니 짱께 원신같은게임에 처발리고 스팀한테 개거칠게 처맞고다니지,1,0
네 다음 애미뒤진 조선족들,1,0
CIA만능설같은 80년대 틀딱이나 믿는 가짜뉴스도 그냥 무지성으로 믿는 반지성주의가 팽배한 인터넷 쓰레기장 디씨ㅋㅋㅋ,1,0
한녀를 누가 사냐고 ㅋㅋ 도태한녀피싸개년들아 주제파악좀해라,1,1
그래서 난 민주당 찍는다 ㅋㅋ 한남 병신 새끼들 언제까지 입닥치고 있나 궁금행,1,1
그냥 한녀 피싸개련들은 싹다 가스실에 넣고 돌리는게 답임,1,1
남혐민국 보지민국 창녀민국,1,1
도둑년 많은 한국창녀 목욕탕에나 cctv설치해라,1,1
니애미는 죽었다,1,0
한남새끼들 누군 오줌싸는거 보고싶은줄 아나 니들꺼 안궁금해 ~,1,1
한남들 속좁은거 ㄹㅈㄷ네 왜 그러고 사니??,1,1
세금 준나아깝네 시발거 메달도 2개밖에 못땃으면서 현기차가 지원해준 양궁이 4개땃는데 국민세금으로 두개밖에못따냐 시벌거,1,0
배구충 올려치기는 개역겹네ㅋㅋㅋㅋㅋㅋㅋ,1,0
김연경은 왜즙짜냐? 팀이 븅신인걸,0,0
닌 애미 뒤져도 그지랄 해라 말이 안통하네,1,0
이런 새끼나 여자 축구 선수 연봉 다 합쳐도 메시보다 작다고 씨부리는 꼴페미나 다른 게 뭐임?,1,1
페미나 한녀들 여자가 주 직업군이 왜 이공계보다 임금 적냐면서 동일임금 주장하는거 같노 야구가 유일흑자여서 오히려 세금 낼텐데,1,1
애미뒤진 새끼가 즈그 애미 뒤졋다고 남한테도 좆같은 소리하노 ㅋㅋㅋ,1,0
ㅋㅋㅋㅋ시발련 말투보게,1,0
ㅉ거기 인구가 몇 명인지 공부 좀 해라.,0,0
미ㅊ.. 그만해 이미 진작 돌파에 맞아봤자 의미없다 몸만 망가지지 싸이코 딥스테이트 진짜,0,0
본인부터 맞아야 할 것 같은데ㅋㅋㅋ,0,0
깨문이들 능지수준은 처참하다,1,0
생긴것도 원숭이네 ㅋㅋㅋㅋㅋㅋ,1,0
억지로 이름 붙이는거 보소 ㅉㅉ,0,0
저 위에 정신병자 있어요.,0,0
바로 자살 ㄱㄱ,1,0
믿는 개 돼지가 있냐? ㅋㅋㅋㅋㅋㅋ,0,0
ㄴ왜구야 일본어로 짖어라,1,0
남초 끄적거리는게 왜? 거기 일베 집단이잖아 정상인 집단은 아닌거 맞잖아 ㅋㅋ 님 남초함?,1,1
느금마 암 걸렸냐~~,1,0
중립충들 뭐야 ㅋㅋㅋㅋㅋ 한 쪽이 더 힘든 게 팩트인데 뭘 너도나도 힘드니까 그만하재 진잦 징그럽다,0,0
나도 나대는 남자새끼들은 존나싫더라;,1,1
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 푸핰 ㅋㅋㅋ아휴 하여튼 페미 짝사랑해서 결제하는 한남들,1,1
진짜 대한민국 일부국민수준 역겹다~,1,0
ㅋㅋㅋ포인트 구분못하죸ㅋ,0,0
남꾸기 어디고 지역구말이야 똘게넘들,1,0
아으 시발 억겨워,0,0
또 또 메퇘지들 잘나가는 아이 하나 담그려 한다. 전에 베스킨 라빈스도 똑같은걸로 쿵쾅데서 광고 내리더만 진짜 정신병자들 집합소라니까.,1,1
ㅈㄴ 웃기네 베트남에서 논란됐다니까 뜬끔없이 한녀머리채 잡는 한남.....^^,1,1
ㄴ 짱게야 집에가서 놀아라,1,0
매퇘지는 악의축..맞지^^ 열등감..쩔구요,1,1
ㅋ 혹시 페미면 모든게 다 불편하니까 이해하고요 ^^ 네 ㅋㅋ,1,1
4살짜리 애기한테도 질투심 느끼고 폭주하는 페미 한녀들 ㄷㄷㄷㄷ 실리콘 쪼가리인 리얼돌 한테도 질투심 느끼더니 ㄷㄷㄷ,1,1
공부도 잘하고 엄청 올곧아서 더 열폭하는 듯 개찌질보스핸냄,1,1
논리가 딱 한남이네요 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1,1
오늘도 남혐풀충전하고 갑니다~,1,1
한남들 또 비린내 풍기면서 몰려왔네,1,1
응 니 엄마한테 가서 말해,1,0
ㅋㅋ수준 존나 떨어져,0,0
댓글 상태가 왜 이러나 했더니 그남들이 쿵쾅대고 갔네ㅋㅋ,1,1
할 일 없는 백수 한남씨는 오늘도 쒸익거리며 댓글을 답니다깔깔한국남자들은돈안드는댓글달기만 열심히하지요,1,1
ㅋㅋ 그래놓고 남자들 이중성 오지죠?,0,0
도태된 숫퇘지 일베충들 좌표찍었네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ군대나 가라 돼지색기들아,1,1
국어 안배운 잼민이구나,0,0
ㅋㅋㅋ 논리가 없으니 인신공격이나 해대고 말야 쯧쯧,0,0
그러게....멍청한새키네,0,0
으 멍청한게 보인다 ㄹㅇ ㅋㅋㅋㅋ,0,0
지능 낮아서 추천많이 박히면 논리가 맞는거라고 생각한다니깐?,0,0
ㅋㅋㅋㅋㅋ 너도지능이 ㅋㅋㅋ,0,0
국어영역 9등급짜리 좆폐급새낀가 ㅋㅋ,1,0
등급따리 하는애들중에서 대학좋은애들 못봄 ㅋㅋㅋㅋㅂㅅ,0,0
ㅋㅋㅋㅋㅋㅋ 힘내라 병신아 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0,0
ㅋㅋㅋㅋㅋㅋㅋㅋ ㄹㅇ 와 말돌리는거 추하다,0,0
으ㅋㅋㅋㅋㅋㅋㅋ 추한거봐 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0,0
ㅋㅋㅋ 이게 말돌리는거지 병신새끼 ㅋㅋㅋ,0,0
자살이나 해라 병신 ㅋㅋㅋㅋㅋ,1,0
미친새끼들 이딴걸 추천 존나찍어놓고 억울하니 지랄염병을,1,0
밭갈이 된거는 니 대가리 속 뉴런이구요ㅋㅋㅋㅋㅋㅋ,1,0
내가준 링크나 쳐보고 빤스런이나 해라 병신아 ㅋㅋ,1,0
그니까 이상과 현실은 다르니 무식하게 달라들지 말라고 ㅂㅅ아,0,0
걍 지능문제야 너는,0,0
그러니까 주접떨지말고 그냥 스윗남페미 짓이나 계속해 그냥 ㅋㅋ,1,1
지 말 안들으면 싸잡아 ㅂㅅ 취급 하는게 딱 페미 레즈들하고 똑같냐,1,1
그래 할말없으면 정신승리라도해야지 ㅋㅋㅋ 수고해라,0,0
수준 진짜 시발 이런 새키들이 무지성 돌격하니까 역풍 쳐맞고도 정신 못차리지,1,0
너같은 병신 남페미새끼들 보면 반으로 접어버리고 싶음 ㅇㅇ,1,1
너 같이 앞뒤 분간 못하고 설사 지르는 무분별한 병신 혐오종자 새끼는 더 극혐함 ㅋㅋㅋ,1,0
그냥 한강다리 가지 말고 니 집 옥상에서 뛰어내려라 ㅋㅋㅋ,0,0
좆병신 한남새끼들이 언제 이겨본 적은 있음? ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1,1
아니 수준이 벌레만도 못해,0,0
방구석에서 손가락 놀리는게 최대업적인 사람들이 또지랄이네,0,0
창조논란 뿐만 아니라 사칭해가며 사람 하나 죽이려고 하는 새끼들은 오조오억배로 고통스럽게 죽으세요~,0,0
한심하게 왜 사냐,0,0
고소해야함 앞으로 더 심해질거 뻔하다 진짜 할일없는 방구석 좆찐따들,1,0
남초카페에서 숏컷이라고 욕하더라 진짜 대가리 빻았나 왜지랄들이야,1,1
스포)))이제 한남들 아가리만 털줄 알고 행동력 없다고 깔 예정 그냥 어떻게 해서든 남자들 깔 예정임,1,1
원조주작러 도태남들이 또 남말을 하는구나~ 얼쑤,1,1
도태페미 주작 비린내난다 걍 중국에나 가라,1,1
ㅂㄷㅂㄷ거리는 페미들 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0,0
며칠 전부터 꾸준히 페미 입장 대변하면서 부들부들 키보드 치는중 ㅋㅋ루,0,0
지능도 도덕수준도 딱 그 수준,0,0
남자들은 허세만 부리고 여자들은 행동한다 ㅉㅉㅉㅉ,0,0
진짜 싸이코 ㄴ 이네 ㅋㅋㅋ,1,0
지능이 낮은 정신병자 탈모한남충 문재앙 후빨페미년들 수준ㅋ,1,1
페미들 화들짝 놀래서 좌표찍고 뛰어왔누?ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1,1
진짜 정신병이다 ;;;,0,0
한녀들 능지수준보소 ㅋㅋㅋㅋ,1,1
한남들 주작없인 암것도 못하나봄,1,1
ㄴ 응 ~ ㅇㄴㅇ ~ 뭘로 벌받아? 한국남자 기분 상하게 했죄로? ㅋㅋ,1,1
ㅠ한국남자들 정신병 얼른 고쳐라,1,1
하지만 오프라인에서 누구보다 찌질한 펨코한남들은 전화를 그 누구도 안함 ... 대체 왜 살지 얘네,1,1
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ남자 행동력이 뭐 그렇지 뭐~~~~~~~~,0,0
남초 쉴드기사 잘 봤구요,0,0
남초랑 유튜브에서 특^^히 유난인듯~,0,0
하여간 좆병신새끼들 집합이여ㅋㅋㅋㅋㅋ,1,0
ㅄ정병 집합소ㅉㅉ,1,0
도태한남새끼들,1,1
저런 부모 없는 병신은 너 혼자 봐,1,0
ㅋㅋㅋ 존나 한남들 억지 땡깡 토악질,1,1
씨발 니 면상보다 역겨운 면상이 세상에 있겠냐 20대 정신병 한남새끼,1,1
저능아도 새끼라고 낳은 니 애미가 불쌍하다 병신ㅋㅋ,1,0
개돼지들 여기서 이간질 하지 마라,1,0
페미라면서 이럴때 입 다물고있노 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0,0
미쳤나봐 진짜 키 작은 한남이 뭐라는거야,1,1
글에서 썩은내 난다;;; 주변에 사람 하나 없을듯,1,0
정신과들 가보셔야 할 것 같은데,0,0
아 개웃기넼 즈그들이 빻은 말했던건 다까잡수셨는지~~~,1,0
니말이 다 맞노!! 마 우리안산게이 오조오억만큼 노무 축하한다 이기야! 응디 흔들기 딱좋노!,1,0
얼마나 부들거리면8줄이나 길게쓰노ㅋㅋㅋㅋ 손가락뒤룩뒤룩뜽녀일득 ㅋㅋ,1,1
뇌거 비어서 짧게 쓰는 걸 자랑이라고 생각하는 건 아니지? 말투 보니까 일베 같은데 사이트만 하지 말고 책도 읽고 외신도 봐라^^,0,0
늬들이 말하는 증거라는게 책이나 인터뷰 내용도 아니고 아무나 들어가서 쓸 수 있는 글따위를 증거라 내새우고 진짜 한심하다,0,0
페미년들 도끼날슛으로 머리다깨야하는데,1,1
부히부히힛,0,0
웅앵웅 안산은 7억 받는다는데 니들은 여기저기 댓글달고 월 150은 받냐?,1,1
대댓 수준이 참 높닼ㅋㅋㅋㅋㅋㅋㅋㅋ 역시 외신이 주목하는 ^일부^ 이 나라 남자!!,1,0
웅앵웅 언냐 말이 다 맞긔,1,1
ㅋㅋㅋㅋㅋ아따 남성혐오단어 쓰는건 페미 아니고 노무노무 쓰면 일베랑께~!,1,1
레즈,0,0
20대 남만 아니고 여자도 마찬가진데....,0,0
댓 모음이 예전에 쓴 댓글 삭제 오지게 해놓은거 보면 그만큼 떳떳하지도 않게 살아온거고 그나마 남아있는 글들은 띄어쓰기나 기호가 도저히 한국 사람이 사용하거나 또는 틀리는 방식이 아닌데 혹시 조선족임?,0,0
ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 킹크랩 ㅎㅇ,0,0
ㅋㅋㅋㅋ어휴,0,0
자기소개 잘 들었다 니 댓글 목록만봐도 인생을 얼마나 Wls따같이 살았는지 알만하다 마 당당하게 살아라 빙si긑이 숨지말고,1,0
꼰팔육 틀니냄새 ㄹㅇ 개역겹네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1,0
니같이 늙어빠진 송장은 스마트폰 못보게 오함마로 손가락 다 부숴야 하는데 그렇지?,1,0
이거 페미들 자기소개아니냨ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 자아성찰을 너무 잘했네 그렇게 부러웅앵웅했어용??,1,1
아직도 한남들은 우기면 다 되는줄 아나보네ㅋㅋㅋ,1,1
"외신이 또 이상하다는 사람들 BBC뉴스 댓글 한번씩 보시고 오시길, 누가 비정상인지 딱 판명납니다",0,0
ㅇㅈㅇㅈ 번역기라도 돌려서 정독 바람,0,0
BBC도 기레기 취급하는거면 확실히 정상은 아니지요?,0,0
BBC PC가 잠식한지 오랜데 ㅋㅋ,0,0
당장 여기 댓글에도 보이네 피해의식 가득한 남초사이트 이용 남자들 ㅋ,0,0
미친 것들이 이렇게 많다니 황당하구나. 니들은 뭐 특별한 존재인줄 아나보지? 꼴깞을 떨고 자빠졌구나. 어처구니가 없다.,1,0
이야~ 자기들 주작대로 기사 안써주면 이젠 비비씨도 ㅎㅌㅊ 언론이라고 하는 클라스~~ 현실은 비행기 타고 영국 갈 돈도 없음~,0,0
이야 남자들 이댓 보고 순살됐겠다ㅋㅋㅋㅋㅋ 통쾌하네요,1,0
"손가락이 남혐인 지, 기사 보고 처음 알았었어. 아마 디자이너도 어디 이미지 저장고에서 모르고 가져왔을 꺼고, 마케팅 책임자도 모르고 가져왔을 껄. 일반인들이 그런 거 아냐? 방구석 잉여들끼리 인민재판 하는 걸 도대체 왜 사과하는 지 모르겠더라.",0,0
처음알았다고하니 말하는데 메갈십계명은 아는지모르겠네. 여성의당 시위때 당당하게외치던 메갈십계명 찾아보고 진실을 알아보길..,0,0
와 ㅆㅇㅈ,0,0
선택적 골라듣기 하냐. 일명이란 단어도 못알아듣고 남초에서 이게 메갈이다 개소리하는거 모아다가 정리해줬더니 못알아듣네. 다섯번째 문장까지만 읽어도 알겠던데 혹시 세줄밖에 못읽는?,0,0
처음엔 비비씨에서 기사 써줬다고 무슨뜻인지 모르고 좋아하던 안티페미들 ㅋㅋ 한국이 이상한거야 너네 다른나라가면 안티페미주장 욕먹고 도태남 취급당한다 ㅋ,1,1
도대체 처음 반응들부터 다 온라인에 퍼져있는데 언제까지 우길래...이미지에 월계수나 집는 모양의 손가락만 보면 남성혐오니 당장 수정하라고 아득바득 우겨서 담당자 실직하게 만들고 괜히 하청업체들 망하게 만들고... 진짜 사회악 여성혐오자들ㅉㅉ그걸 못끊어서 이번에 해외에서도 온라인 학대라고 대대적으로 욕먹지,0,0
찌질한 한국남자 세계적으로 망신....으그,1,1
당신의 아버지도 한국 남자라오. 일부 몰지각한 인간들로 인해 한국남자 전체를 욕하는 건 옳지 않다고 보오.,0,0
안산 선수를 페미라고 욕하던것들이 해외 언론까지 이슈 되니까 갑자기 페미가 페미를 욕했다며 연기를 하는 그 성별 개소리 클라스..............,1,1
영국이 제대로 봤네ㅋㅋ,0,0
불쌍한 한국여성들... 국제망신 한국남성들 때문에 통탄스럽다,0,0
선수 잘못이 하나도 없네요 좋은기사,0,0
이것 봐봐.. 너희가 시끄럽게 할 수록 외신에서는 야야! 쟤네 봐라!! 쟤네 진짜 이상한 애들이다!!! 이러면서 신나게 옮겨 나른다고…… 진짜 이제는 보통 남자들이 저 ^일부^ 남자들때문에 지들까지 묶여서 욕먹는다고 손절하고 있음ㅠ….. 다 아는데 지들만 몰라…. 미운 새끼 전 세계에 다 내놔도 밉다…. 쯧쯧……,0,0
머리 짧은게 어떻게 페미니스트야?? 그냥 짧은머리 하고싶어서 그런걸 수도 있는데 별 이유 다 붙히네;;;,0,0
누가 숏컷이라고 페미라고 합니까~ 남혐단어 쓴 기록이 있으니까 그러는거지~ 숏컷=페미라고 공격한다고 여초에서 프레임 짠거에 고대로 박혀계시네~ㅋ,0,0
페미를 혐오하는 정상인 숏컷이시군요 아무도 뭐라안합니다 여초 이간질임,0,0
페미가 뭔데? 네이버에 뜯이나 찾아보고 와라 어휴페미라고 욕하는 거 자체가 문제란다. 글을 잘 못읽나봄?,0,0
오 요즘 외신보도가 너~무~~많아서 bbc는 아직 못읽었는데 너무 정확한걸? 어떻게 현실부저하는 한남들보다 더 정확하냐.,1,1
성평등주의자 = 페미니스트 성차별주의자 = 안티페미니스트모르면배우고 공부해야 도태되지않죠^^,0,0
진짜 쪽팔린다 ㅋㅋ,0,0
일베가 전세계적으로 이름을 알리기 시작하네... 하긴 일본의 2채널도 세계적 극우들이긴 하다만...,0,0
그 사회 참여 대부분이 페미질인게 문제…안 하느니만 못 한 참여,0,0
모든 남자들은 국제결혼 해야한다,0,0
응 지금 한녀 99프로가 페미,1,1
그건 아냐 주변에 여자없다고 막말 내뱉지마라 ㅋㅋㅋㅋㅋㅋ 이러니 페미=일베인거지,0,0
무슨 소리임? 주위에 여자 없음?,0,0
하지만 절대 페미라곤 얘기못하고 묻기만 해도 발작일으킴 누구보다 페미이지만 누구보다 페미를 부끄러워하는 자기모순적 자아혐오 그녀들.. 모순을 버티는게 페미니즘 이라지,1,1
남자 군대가있는 동안에 사회참여는 못함,0,0